id,name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc
3953,Q92736,True,False,,False,False,,False,False,
3954,Q15413,True,False,,False,False,,False,False,
3956,Q14108,True,False,,False,False,,False,False,
3957,Q14162,True,False,,True,False,,False,False,
3958,Q96GP6,True,False,,True,False,,False,False,
3959,O60939,False,False,,False,False,,False,False,
3960,Q9NY72,False,False,,False,False,,False,False,
3961,P14151,False,False,,True,False,,False,False,
3962,P16109,False,False,,True,False,,False,False,
3963,Q14242,True,False,,True,False,,False,False,
3964,O95754,False,False,,False,True,Possible_receptor,False,False,
3965,Q13591,False,False,,False,True,Possible_receptor,False,False,
3966,Q9P283,False,False,,False,True,Possible_receptor,False,False,
3968,Q96RL6,False,False,,True,False,,False,False,
3969,Q96PQ1,False,False,,True,False,,False,False,
3970,O15389,False,False,,True,False,,False,False,
3971,Q9Y286,False,False,,True,False,,False,False,
3972,Q9NYZ4,False,False,,True,False,,False,False,
3973,Q9Y336,False,False,,True,False,,False,False,
3974,Q5JXA9,False,False,,False,True,Possible_receptor,False,False,
3975,Q9P1W8,False,False,,True,False,,False,False,
3976,Q9NQ25,True,False,,False,False,,False,False,
